RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-02-28,2023-04-30,2024-01-31
102001,0,United States,country,,2023-01-31,-0.1,0.0,0.5
394913,1,"New York, NY",msa,NY,2023-01-31,0.0,0.2,-1.3
753899,2,"Los Angeles, CA",msa,CA,2023-01-31,-1.3,-3.5,-3.3
394463,3,"Chicago, IL",msa,IL,2023-01-31,0.3,0.3,-1.8
394514,4,"Dallas, TX",msa,TX,2023-01-31,-0.4,-0.5,-0.4
394692,5,"Houston, TX",msa,TX,2023-01-31,-0.5,-1.1,-1.6
395209,6,"Washington, DC",msa,VA,2023-01-31,-0.1,-0.3,-2.3
394856,7,"Miami, FL",msa,FL,2023-01-31,-0.1,-0.2,1.2
394974,8,"Philadelphia, PA",msa,PA,2023-01-31,0.2,0.3,-0.2
394347,9,"Atlanta, GA",msa,GA,2023-01-31,-0.3,-0.6,1.3
394976,10,"Phoenix, AZ",msa,AZ,2023-01-31,-0.9,-1.6,-0.2
394404,11,"Boston, MA",msa,MA,2023-01-31,-0.1,-0.2,-1.6
395057,12,"San Francisco, CA",msa,CA,2023-01-31,-0.7,-0.9,-3.2
395025,13,"Riverside, CA",msa,CA,2023-01-31,-0.9,-2.2,-2.2
394532,14,"Detroit, MI",msa,MI,2023-01-31,0.4,0.7,0.4
395078,15,"Seattle, WA",msa,WA,2023-01-31,-0.2,0.1,-0.9
394865,16,"Minneapolis, MN",msa,MN,2023-01-31,-0.2,-0.4,-1.9
395056,17,"San Diego, CA",msa,CA,2023-01-31,-0.5,-0.3,-0.8
395148,18,"Tampa, FL",msa,FL,2023-01-31,-0.4,-0.6,1.7
394530,19,"Denver, CO",msa,CO,2023-01-31,-0.3,-0.5,-1.7
395121,20,"St. Louis, MO",msa,MO,2023-01-31,0.3,0.4,-0.3
394358,21,"Baltimore, MD",msa,MD,2023-01-31,0.3,0.2,-1.6
394458,22,"Charlotte, NC",msa,NC,2023-01-31,-0.3,-0.5,1.6
394943,23,"Orlando, FL",msa,FL,2023-01-31,-0.4,-0.9,0.1
395055,24,"San Antonio, TX",msa,TX,2023-01-31,-0.3,-0.6,-0.5
394998,25,"Portland, OR",msa,OR,2023-01-31,-0.4,-0.7,-2.3
395045,26,"Sacramento, CA",msa,CA,2023-01-31,-0.8,-1.4,-2.6
394775,27,"Las Vegas, NV",msa,NV,2023-01-31,-1.0,-2.3,-2.5
394982,28,"Pittsburgh, PA",msa,PA,2023-01-31,0.2,0.4,-0.6
394355,29,"Austin, TX",msa,TX,2023-01-31,-1.0,-1.5,-1.0
394466,30,"Cincinnati, OH",msa,OH,2023-01-31,0.2,0.4,0.7
394735,31,"Kansas City, MO",msa,MO,2023-01-31,0.4,0.8,1.1
394492,32,"Columbus, OH",msa,OH,2023-01-31,0.2,0.7,1.6
394705,33,"Indianapolis, IN",msa,IN,2023-01-31,0.0,0.2,1.7
394475,34,"Cleveland, OH",msa,OH,2023-01-31,0.3,0.4,0.0
395059,35,"San Jose, CA",msa,CA,2023-01-31,-1.3,-3.1,-3.5
394902,36,"Nashville, TN",msa,TN,2023-01-31,-0.3,-0.4,1.2
395194,37,"Virginia Beach, VA",msa,VA,2023-01-31,0.1,-0.1,-1.5
395005,38,"Providence, RI",msa,RI,2023-01-31,0.1,0.2,-0.1
394714,39,"Jacksonville, FL",msa,FL,2023-01-31,-0.5,-0.9,1.1
394862,40,"Milwaukee, WI",msa,WI,2023-01-31,0.5,0.7,-0.6
394935,41,"Oklahoma City, OK",msa,OK,2023-01-31,-0.2,-0.8,-1.1
395012,42,"Raleigh, NC",msa,NC,2023-01-31,-0.5,-0.7,0.1
394849,43,"Memphis, TN",msa,TN,2023-01-31,0.1,0.5,2.3
395022,44,"Richmond, VA",msa,VA,2023-01-31,0.2,0.3,0.3
